,Angles,Phase,Score
0,"[3, 179, 178, 0, 180, 10, 178, 177]",,
1,"[3, 179, 178, 0, 180, 10, 178, 177]",,
2,"[3, 179, 178, 0, 180, 10, 178, 177]",,
3,"[3, 179, 178, 0, 180, 10, 178, 177]",,
4,"[3, 179, 178, 0, 180, 10, 178, 177]",,
5,"[3, 179, 178, 0, 180, 10, 178, 178]",,
6,"[3, 180, 178, 0, 180, 10, 178, 178]",,
7,"[3, 180, 178, 0, 180, 10, 177, 178]",,
8,"[3, 179, 178, 0, 180, 10, 178, 178]",,
9,"[3, 179, 178, 0, 180, 10, 177, 178]",,
10,"[2, 179, 178, 0, 180, 10, 177, 178]",,
11,"[2, 179, 178, 0, 180, 10, 177, 177]",,
12,"[2, 179, 178, 0, 180, 10, 178, 177]",,
13,"[3, 179, 178, 0, 180, 10, 178, 177]",,
14,"[3, 179, 178, 0, 180, 10, 178, 177]",,
15,"[3, 179, 178, 0, 180, 10, 178, 177]",,
16,"[3, 179, 178, 0, 180, 10, 178, 177]",,
17,"[3, 180, 178, 0, 180, 10, 178, 177]",,
18,"[3, 180, 178, 0, 180, 10, 178, 177]",,
19,"[3, 179, 178, 0, 180, 10, 178, 177]",,
20,"[3, 179, 178, 0, 180, 10, 179, 177]",,
21,"[3, 179, 178, 0, 180, 10, 179, 177]",,
22,"[3, 179, 177, 0, 180, 10, 179, 178]",,
23,"[2, 179, 177, 0, 180, 10, 179, 178]",,
24,"[2, 178, 177, 0, 180, 9, 179, 178]",,
25,"[2, 178, 178, 0, 180, 9, 179, 178]",,
26,"[2, 178, 177, 0, 180, 9, 179, 178]",,
27,"[2, 178, 177, 0, 180, 9, 179, 178]",,
28,"[2, 177, 178, 0, 180, 9, 179, 178]",,
29,"[2, 176, 178, 0, 180, 9, 179, 178]",,
30,"[2, 175, 178, 0, 180, 9, 179, 178]",,
31,"[2, 174, 178, 0, 180, 9, 179, 178]",,
32,"[2, 173, 175, 0, 180, 9, 179, 178]",,
33,"[2, 170, 176, 0, 180, 9, 179, 178]",,
34,"[2, 166, 176, 0, 180, 9, 179, 178]",,
35,"[2, 155, 177, 0, 180, 9, 179, 178]",,
36,"[2, 23, 8, 0, 180, 9, 179, 178]",,
37,"[2, 11, 8, 0, 180, 9, 179, 178]",,
38,"[2, 8, 8, 0, 180, 9, 179, 178]",,
39,"[2, 6, 8, 0, 180, 9, 179, 178]",,
40,"[2, 6, 8, 0, 180, 9, 179, 178]",,
41,"[2, 6, 8, 0, 180, 9, 179, 178]",,
42,"[2, 6, 7, 0, 180, 9, 179, 178]",,
43,"[2, 6, 8, 0, 180, 9, 179, 178]",,
44,"[2, 5, 8, 0, 180, 9, 179, 178]",,
45,"[2, 5, 8, 0, 180, 9, 179, 178]",,
46,"[2, 5, 8, 0, 180, 9, 179, 177]",,
47,"[2, 5, 8, 0, 180, 9, 179, 177]",,
48,"[2, 5, 8, 0, 180, 9, 179, 178]",,
49,"[2, 6, 8, 0, 180, 9, 179, 178]",,
50,"[2, 6, 8, 0, 180, 9, 179, 178]",,
51,"[2, 6, 8, 0, 180, 9, 179, 178]",,
52,"[2, 6, 9, 0, 180, 9, 179, 178]",,
53,"[2, 6, 9, 0, 180, 9, 179, 178]",,
54,"[2, 6, 9, 0, 180, 9, 180, 178]",,
55,"[2, 6, 9, 0, 179, 9, 180, 178]",,
56,"[2, 6, 9, 0, 179, 9, 180, 178]",,
57,"[2, 6, 10, 0, 179, 9, 180, 178]",,
58,"[2, 7, 10, 0, 179, 9, 180, 178]",,
59,"[2, 7, 10, 0, 179, 9, 180, 178]",,
60,"[2, 7, 10, 0, 179, 9, 180, 178]",,
61,"[2, 7, 10, 0, 179, 9, 180, 178]",,
62,"[2, 7, 10, 0, 179, 9, 180, 178]",,
63,"[2, 7, 10, 0, 179, 9, 180, 178]",,
64,"[2, 7, 10, 0, 179, 9, 180, 178]",,
65,"[2, 7, 10, 0, 179, 9, 180, 178]",,
66,"[2, 7, 10, 0, 179, 9, 180, 178]",,
67,"[2, 7, 10, 0, 179, 9, 180, 178]",,
68,"[2, 7, 10, 0, 179, 9, 180, 178]",,
69,"[1, 7, 10, 0, 179, 9, 180, 178]",,
70,"[1, 7, 10, 0, 179, 9, 180, 178]",,
71,"[1, 6, 10, 0, 179, 9, 180, 178]",,
72,"[1, 6, 10, 0, 179, 9, 180, 178]",,
73,"[1, 6, 10, 0, 179, 9, 180, 178]",,
74,"[1, 5, 11, 0, 179, 9, 180, 178]",,
75,"[1, 5, 11, 0, 179, 9, 180, 178]",,
76,"[1, 5, 12, 0, 179, 9, 180, 178]",,
77,"[1, 5, 12, 0, 179, 9, 180, 178]",,
78,"[1, 5, 12, 0, 179, 9, 180, 177]",,
79,"[1, 4, 13, 0, 180, 9, 180, 177]",,
80,"[1, 4, 15, 0, 180, 9, 180, 177]",,
81,"[0, 3, 14, 0, 180, 9, 180, 177]",,
82,"[0, 3, 15, 0, 180, 9, 180, 177]",,
83,"[0, 2, 20, 0, 180, 9, 180, 177]",,
84,"[0, 0, 113, 0, 180, 9, 180, 178]",,
85,"[0, 125, 174, 0, 180, 9, 180, 178]",,
86,"[1, 172, 175, 0, 180, 9, 180, 178]",,
87,"[1, 175, 178, 0, 180, 9, 180, 178]",,
88,"[1, 177, 180, 0, 180, 9, 180, 178]",,
89,"[1, 178, 180, 0, 180, 9, 180, 178]",,
90,"[1, 180, 180, 0, 180, 9, 180, 178]",,
91,"[0, 180, 179, 0, 180, 9, 180, 178]",,
92,"[0, 179, 179, 0, 180, 9, 180, 178]",,
93,"[0, 179, 179, 0, 180, 9, 180, 178]",,
94,"[0, 179, 179, 0, 180, 9, 180, 178]",,
95,"[0, 179, 179, 0, 180, 9, 180, 178]",,
96,"[0, 179, 180, 0, 180, 9, 180, 178]",,
97,"[0, 179, 180, 0, 180, 9, 180, 178]",,
98,"[0, 179, 180, 0, 180, 9, 180, 177]",,
99,"[0, 178, 180, 0, 180, 9, 180, 177]",,
100,"[0, 178, 179, 0, 180, 9, 179, 177]",,
101,"[0, 178, 179, 0, 180, 9, 179, 177]",,
102,"[0, 179, 179, 0, 180, 9, 179, 177]",,
103,"[1, 179, 179, 0, 180, 9, 179, 177]",,
104,"[1, 179, 179, 0, 180, 9, 179, 177]",,
105,"[1, 179, 179, 0, 180, 9, 179, 177]",,
106,"[1, 180, 179, 0, 180, 9, 179, 177]",,
107,"[1, 180, 180, 0, 180, 9, 179, 176]",,
108,"[1, 180, 180, 0, 179, 9, 179, 176]",,
109,"[1, 180, 179, 0, 179, 9, 179, 176]",,
110,"[1, 180, 179, 0, 179, 9, 179, 176]",,
111,"[1, 180, 179, 0, 179, 9, 179, 176]",,
112,"[1, 180, 179, 0, 179, 9, 179, 176]",,
113,"[1, 180, 179, 0, 179, 9, 179, 176]",,
114,"[1, 180, 179, 0, 180, 9, 179, 176]",,
115,"[1, 180, 179, 0, 180, 9, 179, 177]",,
116,"[1, 180, 179, 0, 180, 9, 179, 177]",,
117,"[1, 180, 179, 0, 180, 9, 179, 177]",,
118,"[1, 180, 179, 0, 180, 9, 179, 177]",,
119,"[1, 179, 179, 0, 180, 9, 179, 177]",,
120,"[1, 179, 179, 0, 180, 9, 179, 177]",,
121,"[1, 179, 179, 0, 180, 9, 179, 177]",,
122,"[1, 179, 179, 0, 180, 9, 179, 177]",,
123,"[1, 179, 180, 0, 180, 9, 179, 177]",,
124,"[2, 179, 180, 0, 180, 9, 179, 177]",,
125,"[2, 178, 180, 0, 180, 9, 179, 177]",,
126,"[2, 179, 180, 0, 180, 9, 179, 177]",,
127,"[2, 179, 180, 0, 180, 9, 179, 177]",,
128,"[2, 179, 180, 0, 180, 9, 179, 177]",,
129,"[2, 179, 180, 0, 180, 9, 179, 177]",,
130,"[2, 179, 180, 0, 180, 9, 179, 177]",,
131,"[2, 179, 180, 0, 180, 9, 179, 177]",,
132,"[2, 179, 180, 0, 180, 9, 178, 177]",,
133,"[2, 179, 180, 0, 180, 9, 178, 177]",,
134,"[2, 179, 180, 0, 180, 9, 178, 177]",,
135,"[2, 179, 180, 0, 180, 9, 178, 177]",,
136,"[2, 179, 180, 0, 180, 9, 178, 177]",,
137,"[2, 179, 180, 0, 180, 9, 178, 177]",,
138,"[2, 179, 180, 0, 180, 9, 178, 177]",,
139,"[2, 179, 180, 0, 180, 9, 178, 177]",,
140,"[2, 179, 180, 0, 180, 9, 178, 177]",,
141,"[2, 179, 180, 0, 180, 9, 178, 177]",,
142,"[2, 180, 180, 0, 180, 9, 178, 177]",,
143,"[2, 179, 180, 0, 180, 9, 178, 177]",,
144,"[2, 179, 180, 0, 180, 9, 178, 177]",,
145,"[2, 178, 180, 0, 180, 9, 178, 177]",,
146,"[2, 177, 180, 0, 180, 9, 178, 177]",,
147,"[2, 177, 179, 0, 180, 9, 178, 177]",,
148,"[2, 177, 180, 0, 180, 9, 178, 178]",,
149,"[1, 176, 179, 0, 180, 9, 178, 178]",,
150,"[1, 176, 180, 0, 180, 9, 178, 178]",,
151,"[1, 176, 180, 0, 180, 9, 178, 178]",,
152,"[1, 176, 180, 0, 180, 9, 178, 178]",,
153,"[1, 176, 180, 0, 180, 9, 178, 178]",,
154,"[1, 175, 180, 0, 180, 9, 178, 178]",,
155,"[1, 175, 180, 0, 180, 9, 178, 178]",,
156,"[1, 175, 179, 0, 180, 9, 178, 178]",,
157,"[1, 174, 180, 0, 180, 9, 178, 178]",,
158,"[1, 173, 179, 0, 180, 9, 178, 178]",,
159,"[1, 171, 179, 0, 180, 9, 178, 178]",,
160,"[1, 170, 179, 0, 180, 9, 179, 178]",,
161,"[1, 170, 178, 0, 180, 9, 179, 178]",,
162,"[1, 169, 178, 0, 180, 9, 179, 178]",,
163,"[1, 166, 172, 0, 180, 9, 179, 178]",,
164,"[1, 151, 3, 0, 180, 9, 179, 178]",,
165,"[0, 58, 7, 0, 180, 9, 179, 178]",,
166,"[0, 16, 6, 0, 180, 9, 179, 178]",,
167,"[0, 11, 7, 0, 180, 9, 179, 178]",,
168,"[0, 8, 8, 0, 180, 9, 179, 178]",,
169,"[1, 7, 8, 0, 180, 9, 179, 178]",,
170,"[0, 7, 8, 0, 180, 9, 179, 177]",,
171,"[0, 7, 8, 0, 180, 9, 179, 177]",,
172,"[0, 7, 8, 0, 180, 9, 179, 177]",,
173,"[0, 7, 7, 0, 180, 9, 179, 177]",,
174,"[0, 6, 7, 0, 180, 9, 179, 177]",,
175,"[1, 6, 7, 0, 180, 9, 179, 177]",,
176,"[1, 6, 7, 0, 180, 9, 179, 177]",,
177,"[1, 6, 6, 0, 180, 9, 179, 177]",,
178,"[1, 6, 6, 0, 180, 9, 179, 177]",,
179,"[1, 6, 7, 0, 180, 9, 179, 177]",,
180,"[1, 6, 7, 0, 180, 9, 179, 177]",,
181,"[1, 6, 6, 0, 180, 9, 179, 177]",,
182,"[1, 6, 7, 0, 180, 9, 179, 177]",,
183,"[1, 6, 6, 0, 180, 9, 179, 177]",,
184,"[1, 6, 7, 0, 180, 9, 179, 177]",,
185,"[1, 6, 7, 0, 180, 9, 179, 177]",,
186,"[1, 6, 7, 0, 180, 9, 179, 177]",,
187,"[1, 6, 7, 0, 180, 9, 179, 177]",,
188,"[1, 6, 7, 0, 179, 9, 179, 177]",,
189,"[1, 6, 7, 0, 179, 9, 180, 177]",,
190,"[1, 6, 7, 0, 179, 9, 180, 177]",,
191,"[1, 6, 7, 0, 179, 9, 180, 177]",,
192,"[1, 6, 7, 0, 179, 9, 180, 177]",,
193,"[1, 6, 7, 0, 179, 9, 180, 177]",,
194,"[1, 6, 7, 0, 179, 9, 180, 177]",,
195,"[1, 6, 7, 0, 180, 9, 180, 177]",,
196,"[1, 6, 7, 0, 180, 9, 180, 177]",,
197,"[1, 6, 7, 0, 180, 9, 180, 177]",,
198,"[1, 6, 7, 0, 180, 9, 180, 177]",,
199,"[1, 6, 7, 0, 180, 9, 180, 177]",,
200,"[1, 6, 7, 0, 180, 9, 180, 177]",,
